사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),최상위라벨,최상위확률(%)
611,시장_용현시장_1342.jpg,market/outdoor,84.24,supermarket,7.61,market/indoor,2.65,market/outdoor,84.24
612,시장_원당시장_884.jpg,conference_center,32.17,office,10.96,reception,9.46,conference_center,32.17
613,시장_원당시장_886.jpg,pharmacy,39.92,biology_laboratory,10.27,drugstore,9.28,pharmacy,39.92
614,시장_의정부제일시장_872.jpg,alley,36.04,bazaar/outdoor,20.34,arcade,8.82,alley,36.04
615,시장_의정부제일시장_873.jpg,market/outdoor,44.42,delicatessen,19.34,gift_shop,5.66,market/outdoor,44.42
616,시장_의정부제일시장_874.jpg,clean_room,19.97,office_cubicles,15.82,locker_room,15.02,clean_room,19.97
617,시장_인천석바위시장_1352.jpg,ticket_booth,44.53,general_store/outdoor,11.03,doorway/outdoor,7.45,ticket_booth,44.53
618,시장_인천석바위시장_1353.jpg,ticket_booth,29.37,diner/outdoor,21.93,general_store/outdoor,4.94,ticket_booth,29.37
619,시장_인천석바위시장_1354.jpg,utility_room,37.73,alcove,15.82,entrance_hall,7.75,utility_room,37.73
620,시장_인천종합어시장_1319.jpg,sky,30.24,water_tower,7.34,ice_shelf,5.14,sky,30.24
621,시장_인천종합어시장_1320.jpg,booth/indoor,22.2,art_school,21.48,classroom,6.68,booth/indoor,22.2
622,시장_인천종합어시장_1321.jpg,office,20.69,office_cubicles,19.01,server_room,12.14,office,20.69
623,시장_일산시장_848.jpg,airport_terminal,26.53,science_museum,12.31,mezzanine,10.7,airport_terminal,26.53
624,시장_자유도매시장_1789.jpg,drugstore,26.77,pharmacy,22.05,hospital,14.01,drugstore,26.77
625,시장_자유도매시장_1790.jpg,shopfront,41.6,ticket_booth,10.47,fastfood_restaurant,3.92,shopfront,41.6
626,시장_장림골목시장_1777.jpg,drugstore,33.66,booth/indoor,10.18,pharmacy,8.48,drugstore,33.66
627,시장_장림골목시장_1778.jpg,bakery/shop,18.81,delicatessen,18.28,restaurant_kitchen,15.45,bakery/shop,18.81
628,시장_정서진중앙시장_1343.jpg,restaurant_patio,32.4,cafeteria,18.12,food_court,16.53,restaurant_patio,32.4
629,시장_정서진중앙시장_1344.jpg,market/outdoor,79.36,bazaar/outdoor,9.23,flea_market/indoor,5.07,market/outdoor,79.36
630,시장_토지금고시장_1349.jpg,bakery/shop,69.28,delicatessen,15.22,fastfood_restaurant,3.9,bakery/shop,69.28
631,시장_토지금고시장_1351.jpg,street,15.01,downtown,13.8,parking_garage/outdoor,12.66,street,15.01
632,시장_해운대전통시장_1770.jpg,fastfood_restaurant,33.38,ice_cream_parlor,15.36,department_store,7.5,fastfood_restaurant,33.38
633,시장_해운대전통시장_1771.jpg,bazaar/outdoor,31.85,market/indoor,12.6,market/outdoor,9.49,bazaar/outdoor,31.85
634,시장_해운대전통시장_1772.jpg,bakery/shop,50.88,restaurant_kitchen,10.24,restaurant,9.7,bakery/shop,50.88
635,실내포장마차_골목정원_1355.jpg,alley,25.42,medina,10.65,art_studio,5.34,alley,25.42
636,실내포장마차_골목포차_1801.jpg,elevator/door,14.53,motel,12.47,ticket_booth,12.39,elevator/door,14.53
637,아파트_수목원호정포레스트아파트_1977.jpg,stage/outdoor,16.43,plaza,14.04,amphitheater,13.26,stage/outdoor,16.43
638,양식_낭만놀이_1908.jpg,alley,69.91,medina,24.04,fire_escape,1.19,alley,69.91
639,양식_디노브런치앤다이닝_1502.jpg,shopfront,49.64,diner/outdoor,20.76,pharmacy,5.36,shopfront,49.64
640,양식_디노브런치앤다이닝_1503.jpg,restaurant,25.1,dining_hall,16.84,coffee_shop,11.04,restaurant,25.1
641,양식_디노브런치앤다이닝_1504.jpg,coffee_shop,65.19,restaurant,24.55,food_court,4.06,coffee_shop,65.19
642,양식_로앤쿡드 더브런치_42.jpg,diner/outdoor,20.93,shopfront,20.39,arcade,19.82,diner/outdoor,20.93
